rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,Year
1250,125,University of Alberta,59.6,1250,48.2,118,50.7,119,71.9,403,64.7,229,88.9,119,Canada,"33,475",21.9,28%,55:45:00,University of Alberta,"Geography,Archaeology,Computer Science,Education,Law,Politics & International Studies (incl Development Studies),Communication & Media Studies,Psychology,General Engineering,Medicine & Dentistry,History, Philosophy & Theology,Biological Sciences,Other Health,Chemistry,Art, Performing Arts & Design,Civil Engineering,Architecture,Business & Management,Agriculture & Forestry,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Sport Science,Sociology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2022
1260,126,Case Western Reserve University,59.4,1260,47.6,119,41.7,198,91.9,117,41.7,669,53.8,562,United States,"10,898",9.4,23%,50:50:00,Case Western Reserve University,"Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Accounting & Finance,Chemistry,Law,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Geography,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Education,Psychology,History, Philosophy & Theology,Biological Sciences,Other Health,Sociology,Mechanical & Aerospace Engineering",FALSE,FALSE,2022
1270,127,University of Leeds,59.2,1270,43.7,164,46.5,148,81.1,264,39.8,796,90.3,99,United Kingdom,"33,320",14.6,32%,61:39:00,University of Leeds,"Agriculture & Forestry,Geography,Languages, Literature & Linguistics,Sociology,Architecture,Psychology,Mechanical & Aerospace Engineering,Education,Communication & Media Studies,General Engineering,History, Philosophy & Theology,Mathematics & Statistics,Chemistry,Chemical Engineering,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Other Health,Accounting & Finance,Computer Science,Biological Sciences,Sport Science,Business & Management,Civil Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Law,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2022
1280,127,Maastricht University,59.2,1280,39.8,222,50,125,76.1,347,84.6,105,98.1,12,Netherlands,"18,159",18,55%,60:40:00,Maastricht University,"Business & Management,Communication & Media Studies,Chemical Engineering,Education,Accounting & Finance,Psychology,Chemistry,Biological Sciences,Other Health,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Law,General Engineering,History, Philosophy & Theology,Sociology,Economics & Econometrics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Sport Science,Computer Science",FALSE,FALSE,2022
1290,127,University of Virginia (Main campus),59.2,1290,49.4,107,41.2,204,90.5,137,43.1,608,51,617,United States,"25,377",9,13%,52:48:00,University of Virginia (Main campus),"Biological Sciences,Law,Art, Performing Arts & Design,Computer Science,Sport Science,Business & Management,Psychology,Medicine & Dentistry,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Economics & Econometrics,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,Other Health,Archaeology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Communication & Media Studies",FALSE,FALSE,2022
1300,130,Georgetown University,59.1,1300,55,83,35.3,284,88.8,162,70.2,194,48.9,653,United States,"16,703",8.6,20%,54:46:00,Georgetown University,"Law,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Architecture,Communication & Media Studies,Biological Sciences,Medicine & Dentistry,Sport Science,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Physics & Astronomy,Business & Management,Mathematics & Statistics,General Engineering,Sociology,Computer Science,Psychology",FALSE,FALSE,2022
1310,131,Uppsala University,59,1310,38.5,245,55.8,98,78.4,313,71.8,180,71.4,303,Sweden,"26,917",16.5,17%,58:42:00,Uppsala University,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Politics & International Studies (incl Development Studies),Archaeology,Law,Accounting & Finance,Psychology,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Geography,Chemical Engineering,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,Other Health,Sociology,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Biological Sciences",FALSE,FALSE,2022
1320,132,Arizona State University (Tempe),58.6,1320,46.3,137,49.2,129,80.9,269,38.5,915,62.8,409,United States,"48,255",19.7,18%,44:56:00,Arizona State University (Tempe),"Law,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Biological Sciences,Communication & Media Studies,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Accounting & Finance,Economics & Econometrics,Chemistry,Politics & International Studies (incl Development Studies),Sport Science,Physics & Astronomy,Business & Management,Civil Engineering,Psychology,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Sociology,Archaeology,Electrical & Electronic Engineering,General Engineering,Computer Science,Languages, Literature & Linguistics",FALSE,FALSE,2022
1330,132,University of Hamburg,58.6,1330,45.4,146,52.5,110,74.9,363,93.8,57,58.7,479,Germany,"30,953",59.8,13%,57:43:00,University of Hamburg,"Accounting & Finance,Chemistry,Computer Science,Archaeology,Education,Communication & Media Studies,Art, Performing Arts & Design,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sociology,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Psychology,Economics & Econometrics,Physics & Astronomy,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Law,Geography,Business & Management,Sport Science",FALSE,FALSE,2022
1340,132,The University of Western Australia,58.6,1340,34.4,350,43.6,178,88,174,65,225,95.5,37,Australia,"18,683",21.3,30%,49:51:00,The University of Western Australia,"Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Biological Sciences,Psychology,Archaeology,Education,Chemistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,General Engineering,Sport Science,Geography,Architecture,Other Health,Law,Communication & Media Studies,Medicine & Dentistry,Agriculture & Forestry,Computer Science,Physics & Astronomy,Accounting & Finance,Civil Engineering,Mathematics & Statistics",FALSE,FALSE,2022
1350,136,Rice University,58.5,1350,47.3,123,37.5,254,87.2,184,44.2,554,77.8,230,United States,"6,885",9.2,28%,43:57:00,Rice University,"Sociology,Business & Management,Computer Science,Sport Science,Architecture,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Other Health,Physics & Astronomy,History, Philosophy & Theology,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Education,Mathematics & Statistics,Chemistry,Chemical Engineering",FALSE,FALSE,2022
1360,137,University of Auckland,58.4,1360,34,357,46.3,152,84.8,226,69.4,200,94.6,49,New Zealand,"32,983",22.7,32%,56:44:00,University of Auckland UOA Auckland University,"Accounting & Finance,Biological Sciences,Civil Engineering,Sociology,Other Health,Mathematics & Statistics,Psychology,Computer Science,Chemistry,Sport Science,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Communication & Media Studies,Geography,Electrical & Electronic Engineering,Archaeology,Languages, Literature & Linguistics,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Physics & Astronomy,Medicine & Dentistry,Architecture,Law",FALSE,FALSE,2022
1370,137,University of Vienna,58.4,1370,46.9,128,55.4,100,65.4,496,37.8,1012,95.4,38,Austria,"33,852",38.3,29%,66:34:00,University of Vienna,"Communication & Media Studies,Education,Law,Economics & Econometrics,Sport Science,Psychology,Biological Sciences,Sociology,Other Health,Physics & Astronomy,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Computer Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Geography,Languages, Literature & Linguistics,Business & Management,Chemistry",FALSE,FALSE,2022
1380,139,Radboud University Nijmegen,58.3,1380,35.5,316,50.4,123,85.9,203,44.4,542,74.8,259,Netherlands,"21,818",17.7,15%,56:44:00,Radboud University Nijmegen,"History, Philosophy & Theology,Economics & Econometrics,Psychology,Geography,Archaeology,Communication & Media Studies,Business & Management,Medicine & Dentistry,Physics & Astronomy,Law,Languages, Literature & Linguistics,Accounting & Finance,Biological Sciences,Computer Science,Education,Sociology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Chemistry",FALSE,FALSE,2022
1390,139,Technical University of Berlin,58.3,1390,50.2,102,55.4,99,64.1,521,96.9,43,66.8,361,Germany,"22,118",55,27%,34 : 66,Technical University of Berlin,"Sociology,Computer Science,Accounting & Finance,Mathematics & Statistics,Civil Engineering,Architecture,Electrical & Electronic Engineering,Chemistry,Mechanical & Aerospace Engineering,Chemical Engineering,History, Philosophy & Theology,Education,Physics & Astronomy,General Engineering,Languages, Literature & Linguistics",FALSE,FALSE,2022
1400,140,University of Pittsburgh-Pittsburgh campus,58.2,1400,45.6,143,42.3,193,91.7,119,42.6,623,43.6,793,United States,"26,841",5.6,12%,54:46:00,University of Pittsburgh-Pittsburgh campus,"Mathematics & Statistics,Physics & Astronomy,Law,Other Health,Biological Sciences,Computer Science,Art, Performing Arts & Design,Education,Geography,Communication & Media Studies,Architecture,Accounting & Finance,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Civil Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",FALSE,FALSE,2022
1410,141,University of Nottingham,58.1,1410,43.6,167,44.2,171,80.1,286,40.5,757,89.2,114,United Kingdom,"31,360",14.8,30%,54:46:00,University of Nottingham,"Languages, Literature & Linguistics,Agriculture & Forestry,Law,History, Philosophy & Theology,Medicine & Dentistry,Architecture,Education,Sport Science,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Other Health,Chemistry,Archaeology,Computer Science,Veterinary Science,Civil Engineering,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Geography",FALSE,FALSE,2022
1420,142,University of Rochester,57.9,1420,44.9,155,39.3,227,86.4,195,50.5,386,73.1,279,United States,"10,177",6.7,36%,49:51:00,University of Rochester,"Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Sociology,Psychology,History, Philosophy & Theology,Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Chemistry,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Communication & Media Studies,Languages, Literature & Linguistics,General Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy",FALSE,FALSE,2022
1430,143,University of Antwerp,57.8,1430,35.4,318,47,144,85.4,211,85.7,99,70.6,310,Belgium,"15,347",30.8,17%,55:45:00,University of Antwerp,"Electrical & Electronic Engineering,Other Health,Law,Art, Performing Arts & Design,Veterinary Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,History, Philosophy & Theology,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Sociology,General Engineering,Medicine & Dentistry,Education,Mathematics & Statistics,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Communication & Media Studies",FALSE,FALSE,2022
1440,143,University of Exeter,57.8,1440,33.9,358,39.3,225,93.5,101,37.5,1031,91.6,90,United Kingdom,"22,740",16.1,28%,54:46:00,University of Exeter,"Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Architecture,Law,Biological Sciences,Psychology,Accounting & Finance,Languages, Literature & Linguistics,Communication & Media Studies,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,Other Health,Business & Management,Archaeology,Agriculture & Forestry,Economics & Econometrics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Veterinary Science,Civil Engineering,Physics & Astronomy,General Engineering",FALSE,FALSE,2022
1450,143,University of Technology Sydney,57.8,1450,36.5,293,43.7,176,83.7,237,55,317,97.2,18,Australia,"26,955",39.6,37%,52:48:00,University of Technology Sydney UTS,"Sociology,Psychology,Computer Science,General Engineering,Agriculture & Forestry,Medicine & Dentistry,Education,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Chemical Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Civil Engineering,Law,Economics & Econometrics,Communication & Media Studies,Accounting & Finance,Sport Science,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Other Health",FALSE,FALSE,2022
1460,146,University of Mannheim,57.6,1460,43,173,50.5,122,76.6,342,60.7,261,67.5,350,Germany,"7,641",57.5,25%,,University of Mannheim,"Languages, Literature & Linguistics,Computer Science,History, Philosophy & Theology,Psychology,Accounting & Finance,Business & Management,Law,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies,Mathematics & Statistics,Education",FALSE,FALSE,2022
1470,146,Newcastle University,57.6,1470,34.1,356,39.8,223,92.8,108,42.3,641,87.5,135,United Kingdom,"24,630",14.5,27%,52:48:00,Newcastle University,"Archaeology,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Civil Engineering,Sociology,Accounting & Finance,General Engineering,Physics & Astronomy,Business & Management,Law,Geology, Environmental, Earth & Marine Sciences,Education,Chemistry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Psychology,Architecture,Chemical Engineering,Veterinary Science,Other Health,Agriculture & Forestry,Geography,Biological Sciences,Communication & Media Studies",FALSE,FALSE,2022
1480,146,Trinity College Dublin,57.6,1480,40.4,209,45,163,79.5,290,42.1,649,95,44,Ireland,"17,495",21.2,32%,60:40:00,Trinity College Dublin,"Mechanical & Aerospace Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Geography,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Medicine & Dentistry,Archaeology,Physics & Astronomy,Sport Science,Law,Accounting & Finance,Sociology,General Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Education,Chemistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Computer Science,Civil Engineering,Psychology",FALSE,FALSE,2022
1490,146,Ulm University,57.6,1490,39.8,223,38.6,237,92.4,115,85.7,100,56.9,511,Germany,"10,284",27.2,13%,50:50:00,Ulm University,"Education,Physics & Astronomy,Chemical Engineering,Computer Science,Chemistry,Sport Science,Medicine & Dentistry,Other Health,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Biological Sciences",FALSE,FALSE,2022
1500,150,University of Arizona,57.5,1500,46.6,133,48,136,82.4,249,50.5,384,41.4,852,United States,"39,616",17.3,10%,53:47:00,University of Arizona,"Physics & Astronomy,Chemical Engineering,Chemistry,Architecture,Other Health,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Archaeology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Education,Veterinary Science,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Biological Sciences,Geography,Economics & Econometrics,Law,Communication & Media Studies,Medicine & Dentistry,Electrical & Electronic Engineering",FALSE,FALSE,2022
1510,151,City University of Hong Kong,57.4,1510,42.7,178,44.3,170,75.4,356,46.6,480,99.7,2,Hong Kong,"9,506",10.7,56%,54:46:00,City University of Hong Kong CityU HK,"Civil Engineering,Chemistry,Architecture,Psychology,Business & Management,Law,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Biological Sciences,General Engineering,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science,Veterinary Science,Mathematics & Statistics",FALSE,FALSE,2022
1520,151,University of Sussex,57.4,1520,32.2,410,37.5,255,95.1,76,36.2,1197,93.8,63,United Kingdom,"17,405",17.6,37%,55:45:00,University of Sussex,"Art, Performing Arts & Design,Computer Science,Psychology,Communication & Media Studies,Accounting & Finance,Biological Sciences,Electrical & Electronic Engineering,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy,Education,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Law,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Chemistry",FALSE,FALSE,2022
1530,151,Yonsei University (Seoul campus),57.4,1530,54.9,86,58.2,88,55.7,660,96.9,44,58.6,481,South Korea,"18,521",14.7,21%,49:51:00,Yonsei University (Seoul campus) Yonsei Yon Sei,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Sport Science,Biological Sciences,Computer Science,Law,Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Architecture,Other Health,Mathematics & Statistics,Business & Management,General Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Sociology,Psychology,Communication & Media Studies,Chemical Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE,2022
1540,154,University of Florida,57.3,1540,54.5,88,58.9,80,62,559,58.4,284,42.7,819,United States,"47,007",16.3,9%,56:44:00,University of Florida,"Veterinary Science,Languages, Literature & Linguistics,Law,Geography,Psychology,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Medicine & Dentistry,Other Health,Economics & Econometrics,Sport Science,Chemical Engineering,Mathematics & Statistics,Business & Management,Chemistry,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Computer Science,General Engineering",FALSE,FALSE,2022
1550,155,Université Paris Cité,57.2,1550,48.8,113,35.5,280,86.5,194,36.3,1180,67.7,349,France,"62,366",17,19%,64:36:00,Université Paris Cité france international student life,"Medicine & Dentistry,Archaeology,Psychology,Mechanical & Aerospace Engineering,Sport Science,Computer Science,Law,Architecture,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Sociology,Mathematics & Statistics,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Other Health,Education,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management",FALSE,FALSE,2022
1560,156,Pompeu Fabra University,57.1,1560,36.4,297,39.2,230,94.2,89,47.8,445,66.8,360,Spain,"11,863",22.9,13%,60:40:00,Pompeu Fabra University,"Art, Performing Arts & Design,Education,Communication & Media Studies,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Other Health,Computer Science,Sociology,Biological Sciences,Law,Economics & Econometrics",FALSE,FALSE,2022
1570,157,Wuhan University,56.9,1570,43.2,172,37.7,249,92.3,116,80.9,116,39.8,902,China,"54,421",15.2,7%,,Wuhan University,"Law,Psychology,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Geography,General Engineering,Education,Physics & Astronomy,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Veterinary Science,Economics & Econometrics,Civil Engineering,Architecture,Archaeology,Other Health,Chemical Engineering,Mechanical & Aerospace Engineering,Business & Management,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sociology",FALSE,FALSE,2022
1580,158,University of Aberdeen,56.8,1580,32.2,406,35.2,288,94,91,47.1,460,95.8,31,United Kingdom,"13,105",16.8,44%,58:42:00,University of Aberdeen,"Computer Science,General Engineering,Geography,Archaeology,Mechanical & Aerospace Engineering,Civil Engineering,Business & Management,Biological Sciences,Economics & Econometrics,Education,History, Philosophy & Theology,Psychology,Chemistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Medicine & Dentistry,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Sport Science,Sociology,Law,Electrical & Electronic Engineering,Physics & Astronomy",FALSE,FALSE,2022
1590,158,University of Colorado Boulder,56.8,1590,43.2,170,42.8,185,88.1,172,43.2,599,47.2,697,United States,"35,491",16.6,10%,45:55:00,University of Colorado Boulder,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Sociology,Accounting & Finance,Chemistry,Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Law,General Engineering,Psychology,Geography",FALSE,FALSE,2022
1600,158,Lomonosov Moscow State University,56.8,1600,80.3,19,69.9,50,12.8,1512,99.3,24,72.5,284,Russian Federation,"29,118",9.1,36%,54:46:00,Lomonosov Moscow State University,"Archaeology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Geography,Medicine & Dentistry,Physics & Astronomy,Biological Sciences,Sport Science,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Sociology,Business & Management,Electrical & Electronic Engineering,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Mathematics & Statistics,History, Philosophy & Theology,Law,Economics & Econometrics,Education,Communication & Media Studies,Chemical Engineering",FALSE,FALSE,2022
1610,158,Université Catholique de Louvain,56.8,1610,38.4,247,52.1,112,73.2,391,62.5,244,80.9,194,Belgium,"26,424",39.1,20%,54:46:00,Université Catholique de Louvain,"Civil Engineering,Chemistry,Economics & Econometrics,Sport Science,Geography,Business & Management,Art, Performing Arts & Design,Veterinary Science,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Law,Languages, Literature & Linguistics,Computer Science,Sociology,Mechanical & Aerospace Engineering,Other Health,Biological Sciences,Physics & Astronomy,Accounting & Finance,Education,Archaeology,Agriculture & Forestry,Architecture,History, Philosophy & Theology,Mathematics & Statistics,Electrical & Electronic Engineering,Chemical Engineering,Psychology,Medicine & Dentistry",FALSE,FALSE,2022
1620,162,Durham University,56.7,1620,44.9,154,47.8,140,69.7,435,37.8,1000,93.8,62,United Kingdom,"17,725",15,33%,54:46:00,Durham University united kingdom UK  England,"Business & Management,Civil Engineering,Chemistry,Languages, Literature & Linguistics,Sport Science,Economics & Econometrics,Law,Psychology,Archaeology,Electrical & Electronic Engineering,Sociology,Accounting & Finance,Biological Sciences,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Education,Mathematics & Statistics,History, Philosophy & Theology,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Geography",FALSE,FALSE,2022
1630,162,University of Ottawa,56.7,1630,40.4,207,40.6,211,83.3,241,50,396,82.1,180,Canada,"35,791",25.4,22%,58:42:00,University of Ottawa,"Languages, Literature & Linguistics,Computer Science,Veterinary Science,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Other Health,Sport Science,History, Philosophy & Theology,Education,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,Chemistry,General Engineering,Politics & International Studies (incl Development Studies),Law,Sociology,Business & Management,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Chemical Engineering,Mechanical & Aerospace Engineering,Geography",FALSE,FALSE,2022
1640,162,Southern University of Science and Technology (SUSTech),56.7,1640,29.4,507,39.4,224,98.5,33,78.5,133,60.4,451,China,"4,245",8.4,1%,,Southern University of Science and Technology (SUSTech),"Medicine & Dentistry,Mathematics & Statistics,General Engineering,Other Health,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Business & Management,Computer Science,Chemistry,Biological Sciences,Electrical & Electronic Engineering,Accounting & Finance,Chemical Engineering,Mechanical & Aerospace Engineering",FALSE,FALSE,2022
1650,165,University of Würzburg,56.6,1650,38.1,258,43.2,182,85.6,207,73.9,167,62.4,420,Germany,"23,374",35.6,10%,57:43:00,University of Würzburg,"Languages, Literature & Linguistics,Psychology,Education,Chemistry,Physics & Astronomy,Agriculture & Forestry,Business & Management,Law,Geography,History, Philosophy & Theology,Communication & Media Studies,Mechanical & Aerospace Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Economics & Econometrics,Sport Science,Sociology,Computer Science,Architecture,Other Health,Mathematics & Statistics,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Chemical Engineering,Archaeology",FALSE,FALSE,2022
1660,166,Bielefeld University,56.5,1660,36.4,294,41.8,197,94.4,84,42.4,631,48.1,675,Germany,"25,182",70.6,8%,58:42:00,Bielefeld University,"Physics & Astronomy,Psychology,Other Health,Communication & Media Studies,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Sociology,Medicine & Dentistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Economics & Econometrics,Business & Management,Chemical Engineering,Sport Science,Accounting & Finance,Education",FALSE,FALSE,2022
